date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:13	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2011%20Oct%202018%2011:53:13%20GMT	http://twofold.fuelthemes.net/robots.txt		(from )
14:53:13	24183/24183	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Oct%202018%2011:53:14%20GMT	http://twofold.fuelthemes.net/home-slider/	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/home-slider/index.html	(from )
14:53:15	37414/37414	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4910-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	C:/My%20Web%20Sites/two-fold/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from http://twofold.fuelthemes.net/home-slider/)
14:53:17	269416/269416	---MCZ	200	added ('OK')	text/css	etag:W/%225b4c9837-41c68%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp//assets/css/app.css?ver=3.1.0	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/css/app324d.css	(from http://twofold.fuelthemes.net/home-slider/)
14:53:17	10056/10056	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22573eaa90-2748%22	http://twofold.fuelthemes.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://twofold.fuelthemes.net/home-slider/)
14:53:17	802/802	---M--	200	added ('OK')	image/png	etag:%22595f5c50-322%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/logo_light.png	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/logo_light.png	(from http://twofold.fuelthemes.net/home-slider/)
14:53:17	97184/97184	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225742c6ad-17ba0%22	http://twofold.fuelthemes.net/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-includes/js/jquery/jqueryb8ff.js	(from http://twofold.fuelthemes.net/home-slider/)
14:53:17	788/788	---M--	200	added ('OK')	image/png	etag:%22595f5c50-314%22	http://twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/logo_dark.png	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/themes/twofold-wp/assets/img/logo_dark.png	(from http://twofold.fuelthemes.net/home-slider/)
14:54:34	470797/470797	---M--	200	added ('OK')	image/jpeg	etag:%2258bd468c-72f0d%22	http://twofold.fuelthemes.net/wp-content/uploads/2016/03/t-3.jpg	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/uploads/2016/03/t-3.jpg	(from http://twofold.fuelthemes.net/home-slider/)
14:54:40	534552/534552	---M--	200	added ('OK')	image/jpeg	etag:%2258bd45b7-82818%22	http://twofold.fuelthemes.net/wp-content/uploads/2016/03/t-2.jpg	C:/My%20Web%20Sites/two-fold/twofold.fuelthemes.net/wp-content/uploads/2016/03/t-2.jpg	(from http://twofold.fuelthemes.net/home-slider/)
